first_name,last_name,dob,city,joining_date,contact_number,income
Meera,Kakkar,01/10/2001, Chennai,12/10/2020,9286361731,631904
Mihir,Malhotra,04/25/1977,Delhi,11/12/2016,9589242229,415840
Myra,Oswal,10/08/1986,Kolkata,09/10/2017,8595197110,559773
Naksh,Lal,12/05/1998, Chennai,03/09/2018,8128560375,552859
Nandini,Agarwal,07/30/1984,  Bangalore,07/07/2016,6038788082,609169
Neil,.Wadhwa,03/11/1971, Chennai,02/02/2019,6849836876,647448
niharika,Bagchi,09/02/1995,Kolkata,05/11/2017,2212689134,667739
Nirav,Bhandari,11/14/1978,Delhi,08/01/2018,3377805486,536785
Om,Dhawan,06/19/1980,Mumbai,09/03/2016,3770061099,463454
Pari,Hegde,01/05/1969,Delhi,01/07/2018,7273828486,371083
Parth,Jha,05/26/1976, Chennai,10/10/2017,4988425344,553743
Pooja,Marwah,08/31/1993,Mumbai,03/08/2015,9095663037,343673
Pranav,Pandey,02/15/1972,Kolkata,06/04/2021,917393659,596321
prisha,Rathore,10/24/1983,Kolkata,04/03/2017,2705089741,344088
Raghav,S,12/16/1990,  Bangalore,12/08/2020,4527179856,534633
Riya,Yadav,07/03/1974,  Bangalore,08/05/2016,2171897662,628801
rohan,Bhardwaj,04/12/1988,Kolkata,01/02/2018,5640326238,507569
Rishi,Chowdhury,09/09/1992,  Bangalore,07/12/2016,7230341336,484153
Saanvi,Dixit,11/07/1979,Mumbai,09/10/2020,6956421434,433694
Sameer,Iyer,06/04/1987,Delhi,10/09/2022,3797565125,646783
Sanaya,Kaul,01/28/2001,  Bangalore,03/05/2021,1380828591,414029
Shanaya,Mittal,03/23/1975, Chennai,06/01/2021,5113809049,541063
Shaurya,Pande,05/18/1985,Delhi,08/07/2020,9854666646,565163
Siya,Rastogi,08/10/1996, Chennai,04/02/2018,8657255292,564551
Sparsh,Singh,02/03/1981,Delhi,12/12/2019,5001758467,488174
Tanisha,Yagnik,10/15/1977,Delhi,02/08/2015,7425433725,356277
tanya,Bhattacharya,12/29/1988,Delhi,11/04/2019,8283759092,681553
Utkarsh,Chakraborty,07/18/1994,Kolkata,09/09/2018,5010344183,655194
Vansh,Dhillon,04/01/1978,Mumbai,06/03/2021,4370478229,432702
Ved,Garg,09/12/1999,  Bangalore,05/12/2020,1656268235,314884
Vihaan,Kapoor,11/27/1986,Mumbai,08/10/2019,8631104366,418122
Yash,Mohanty,06/15/1972,  Bangalore,04/09/2021,4562908553,384460
Yashvi,P,01/19/1984,  Bangalore,10/03/2020,1752915273,584239
Zara,Rath,03/07/1991,Kolkata,07/07/2021,6411637960,474579
aaradhya,Soni,05/02/1980,Delhi,03/05/2018,5163232499,377033
Aayush,Agarwal,08/27/1973, Chennai,11/11/2017,2835645536,663028
Abhishek,Deol,10/19/1997,Mumbai,02/09/2020,4462116321,578723
Akshay,Grover,12/11/1982,Mumbai,05/06/2017,3002442036,398848
aryan,Kaur,07/08/1968,Kolkata,09/12/2018,8589190370,364439
Avika,Mukherjee,02/22/1970, Chennai,08/05/2019,4169465484,661466
Darsh,Raghavan,04/13/1995,Mumbai,01/11/2020,771367793,413015
Eesha,Sawant,09/05/1989, Chennai,04/12/2018,8448757978,526684
garima,Srinivasan,11/30/1976,Kolkata,07/03/2016,8328760650,426951
hardik,Dutta,06/24/1984,  Bangalore,12/10/2019,8976138587,571172
Ira,Haridas,01/15/2000,  Bangalore,11/12/2020,2040485735,301725
Jyoti,Khurana,03/31/1974, Chennai,09/10/2017,4446812561,378656
kaavya,Nagpal,05/22/1981,Kolkata,03/09/2018,9202560401,429636
Keya,Ranganathan,08/16/1998,  Bangalore,07/07/2016,1340528548,343356
Lakshya,Shah,10/10/1987, Chennai,02/02/2019,1858756436,455182
Madhav,Subramanian,12/03/1979,Kolkata,05/11/2017,3629947960,629318
Naisha,V,07/24/1993, Chennai,08/01/2018,7314863642,575900
Ojas,Agnihotri,04/06/1975,  Bangalore,09/03/2016,5600065623,549506
Pavitra,.Bhalla,09/30/1980,Mumbai,01/07/2018,8405477090,593949
Raj,Dalmia,11/23/1992,  Bangalore,10/10/2017,3443292679,668441
Saisha,Iyengar,06/13/1969,  Bangalore,03/08/2015,6524023562,490310
Saksham,Kumar,01/08/1977,Mumbai,06/04/2021,8098532377,680580
tarun,.Narayan,03/05/1996,Mumbai,04/03/2017,7741226514,467232
Vivaan,.Agarwal,05/09/1988,Delhi,12/08/2020,7471703479,328703
